title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime_video,disney+,imdb_raw,rotten_raw,themes,description
DAVE,2020,18+,8.3/10,82/100,0,1,0,0,8.3,82.0,Comedy Music,A neurotic mid-20s suburbanite's convinced he's destined to be one of the greatest rappers of all time. Now he's got to prove it to everyone else.
Misfits,2009,18+,8.2/10,81/100,0,1,0,0,8.2,81.0,Comedy Drama Fantasy,"A group of young offenders doing community service get struck by lightning during a storm, and begin to develop superpowers."
Peep Show,2003,18+,8.6/10,81/100,0,1,1,0,8.6,81.0,Comedy,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.
Criminal Minds,2005,16+,8.0/10,81/100,0,1,0,0,8.0,81.0,Crime Drama Mystery,"The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again."
Superstore,2015,16+,7.8/10,81/100,0,1,0,0,7.8,81.0,Comedy,A look at the lives of employees at a big box store.
Lie to Me,2009,16+,8.0/10,81/100,0,1,0,0,8.0,81.0,Crime Drama Mystery,"About Cal Lightman, the world's leading deception expert who studies facial expressions and involuntary body language to expose the truth behind the lies."
The Orville,2017,16+,8.0/10,80/100,0,1,0,0,8.0,80.0,Adventure Comedy Drama,"Set 400 years in the future, finds the crew of the U.S.S. Orville continuing their mission of exploration, as they navigate both the mysteries of the universe and the complexities of their own interpersonal relationships."
Preacher,2016,18+,8.0/10,80/100,0,1,1,0,8.0,80.0,Adventure Drama Fantasy,"After a supernatural event at his church, a preacher enlists the help of a vampire and his ex to find God."
12 Monkeys,2015,16+,7.7/10,80/100,0,1,0,0,7.7,80.0,Mystery Sci-Fi Thriller,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
Dirk Gently's Holistic Detective Agency,2016,16+,8.3/10,80/100,0,1,0,0,8.3,80.0,Action Adventure Comedy,Holistic detective Dirk Gently investigates cases involving the supernatural.
Smallville,2001,7+,7.5/10,80/100,0,1,0,0,7.5,80.0,Action Adventure Drama,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas."
RuPaul's Drag Race,2009,16+,8.4/10,80/100,0,1,0,0,8.4,80.0,Game-Show Reality-TV,RuPaul searches for America's next drag superstar.
Fear the Walking Dead,2015,18+,6.9/10,80/100,0,1,0,0,6.9,80.0,Drama Horror Sci-Fi,"A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse."
"Love, Victor",2020,16+,8.1/10,80/100,0,1,0,0,8.1,80.0,Comedy Drama Romance,"Victor is a new student at Creekwood High School on his own journey of self-discovery, facing challenges at home, adjusting to a new city, and struggling with his sexual orientation."
Cowboy Bebop,1998,16+,8.9/10,80/100,0,1,0,0,8.9,80.0,Animation Action Adventure,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
Blue Bloods,2010,16+,7.6/10,80/100,0,1,0,0,7.6,80.0,Crime Drama Mystery,Revolves around a family of New York cops.
Inside No. 9,2014,18+,8.5/10,80/100,0,1,0,0,8.5,80.0,Comedy Crime Drama,"Anthology series which mixes dark humor with genres like crime, horror, or drama. The show invites viewers into some very different No. 9s, where the ordinary and mundane rub shoulders with the extraordinary and macabre."
Parenthood,2010,7+,8.2/10,79/100,0,1,0,0,8.2,79.0,Comedy Drama,The lives and tragedies of the Braverman family tree.
